Blog	four	looking	second	here	kids	k	music	until	example	want	turn	wrong	fix	re	wasn	service	project	person	tech	came	saying	best	country	asked	much	life	things	had	easy	possible	right	old	people	support	happy	later	team	along	love	working	following	such	data	years	course	didn	internet	million	open	city	future	saw	note	take	going	where	sites	jobs	many	wants	photos	former	technology	being	around	traffic	world	power	favorite	her	series	complete	ad	am	tv	th	large	small	past	hours	experience	social	via	company	science	learn	information	its	always	found	really	try	number	self	also	play	sometimes	set	see	last	whole	community	rules	recent	amp	couple	d	continue	anything	into	link	line	up	us	ago	having	results	video	great	makes	tools	next	process	high	move	doing	could	start	system	haven	face	fact	should	hope	means	stuff	email	ve	android	off	less	web	government	five	does	software	details	chance	above	search	word	work	interview	after	order	office	then	them	they	network	created	another	do	away	hand	photo	thanks	night	security	post	months	available	way	true	together	change	history	extra	live	car	write	product	use	still	half	now	january	year	space	shows	care	ways	than	online	america	only	between	article	comes	these	media	thinking	real	read	early	using	business	your	aren	lot	trying	building	since	month	very	learned	family	put	site	help	soon	actually	event	reason	ask	american	mobile	latest	pretty	during	x	close	won	probably	else	look	while	user	march	game	some	run	step	doesn	e	go	facebook	click	started	point	links	including	him	keep	exactly	need	able	based	she	written	key	police	problem	both	well	page	twitter	home	he	star	friends	companies	likely	even	ever	never	met	call	tell	give	answer	before	personal	better	weeks	went	mean	content	isn	features	matter	seen	don	m	stop	bad	decided	said	against	appeared	three	website	say	if	make	left	human	yes	yet	save	deal	popular	down	digital	finally	did	making	crazy	may	man	maybe	talk	nbsp	group	interesting	thing	think	first	little	anyone	were	shot	show	behind	black	get	enough	reading	across	those	different	pay	same	money	either	images	youtube	again	important	u	public	published	two	share	needs	coming	through	someone	everyone	house	hard	idea	done	least	part	believe	built	build	most	find	please	simple	create	understand	fun	itself	yesterday	big	bit	google	often	back	others	control	ll	day	text	taking	almost	com	thought	add	works	minutes	special	under	every	school	changes	would	phone	must	me	times	end	over	writing	each	got	free	wanted	days	already	top	too	took	though	watch	report	full	news	been	several	pick	gave	everything	no	cool	posts	says	goes	weird	today	local	figure	happened	name	place	given	white	any	ideas	sure	state	review	come	case	myself	good	check	week	without	seems	blog	update	there	program	far	list	design	version	known	rather	short	might	used	friday	feel	story	kind	nothing	his	hit	art	recently	reasons	questions	question	long	called	users	once	issues	apple	heart	app	few	something	six	instead	looks	our	out	york	their	which	who	why	words	view	stories	job	will	let	gets	other	know	because	lead	getting	own	apps	made	book
ongoing by Tim Bray	0	0	0	5	1	2	0	0	0	1	2	1	1	16	0	0	1	0	1	0	0	1	0	0	1	3	1	2	1	0	1	2	0	0	0	0	0	2	2	0	0	0	0	1	0	1	0	0	1	0	0	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	2	0	2	2	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	1	5	0	0	0	3	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	5	1	0	2	2	0	1	0	4	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	1	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	1	4	1	0	0	0	4	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	3	0	0	3	0	0	1	0	2	0	0	0	0	3	1	1	0	1	0	1	0	0	0	2	1	0	0	3	0	0	1	0	0	0	0	0	0	1	3	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	2	4	0	1	2	0	0	0	0	0	0	0	0	0	1	2	0	5	0	2	1	0	0	0	1	0	1	0	0	3	2	1	0	0	1	3	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	4	1	2	0	0	0	0	5	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1
The Viral Garden	5	10	3	26	0	1	6	0	4	34	2	4	0	4	8	5	4	5	0	1	4	8	0	1	8	2	6	36	2	1	7	1	73	2	1	4	5	4	4	1	23	8	0	6	3	14	0	0	2	0	1	2	0	7	11	15	8	1	23	3	0	0	0	18	7	9	4	5	2	5	9	2	11	26	1	9	3	5	1	4	1	134	9	13	1	8	6	12	6	12	9	4	5	4	10	2	8	0	24	14	1	10	10	5	3	6	6	1	1	10	20	2	24	16	5	3	5	0	13	3	7	10	1	1	2	14	8	7	0	3	0	3	17	2	7	3	3	20	0	6	5	1	0	0	5	0	0	5	1	3	1	17	0	8	1	0	22	50	90	6	7	8	39	3	1	0	2	3	0	41	5	0	28	1	4	3	1	1	3	0	9	2	20	14	2	22	1	18	6	2	1	6	9	8	2	16	2	2	2	26	122	4	2	9	2	31	13	79	11	14	7	4	3	1	25	5	0	4	11	11	3	10	28	10	3	0	0	1	3	8	0	5	11	11	8	1	8	4	2	1	20	0	0	3	0	15	10	3	14	6	8	1	3	3	0	8	2	0	1	5	5	0	5	6	14	8	71	1	17	0	11	29	7	18	3	10	2	1	11	10	2	9	6	10	5	7	8	15	7	0	2	4	14	16	2	3	6	13	0	0	3	3	7	69	20	9	1	1	1	1	1	7	2	0	1	11	4	0	12	1	4	2	0	5	4	13	30	26	3	0	33	0	5	1	1	24	5	8	0	10	4	3	16	3	2	0	0	3	5	0	0	1	8	8	6	12	4	14	9	0	1	15	3	6	7	1	0	6	24	9	3	2	11	13	2	7	0	13	8	0	9	19	11	0	17	21	0	4	3	22	11	10	1	1	1	1	13	1	1	30	0	3	56	1	5	14	5	3	9	6	13	8	2	4	6	8	5	0	0	3	1	10	10	2	0	0	19	5	7	0	3	0	4	0	3	4	10	3	2	0	8	6	11	1	0	7	8	3	16	7	7	2	3	46	2	41	0	1	12	0	0	1	1	1	7	1	0	2	2	0	2	8	2	0	6	5	6	0	8	4	10	3	2	1	3	0	22	10	0	5	1	6	32	2	72	21	15	24	1	5	3	1	50	10	1	17	18	40	2	7	25	0	7	0
SpikedHumor - Today's Videos and Pictures	0	0	6	102	1	0	2	1	0	1	0	0	0	2	0	0	2	1	0	0	1	6	0	0	0	2	1	5	0	0	0	2	3	1	1	0	1	0	1	0	1	1	0	2	0	0	0	1	0	2	2	1	0	1	0	0	0	0	2	0	2	0	0	1	4	0	1	0	0	0	0	0	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	7	0	2	1	0	0	0	3	3	0	4	4	4	1	0	0	0	0	1	1	0	0	2	0	0	13	2	2	1	1	15	1	1	0	0	0	0	1	0	1	0	1	0	4	1	1	1	1	0	0	2	0	3	0	0	3	0	2	0	0	1	0	1	1	2	0	3	1	0	2	3	0	1	0	3	2	1	0	0	0	1	2	3	0	0	2	0	1	1	1	0	2	4	0	0	0	2	1	0	0	0	3	0	0	0	1	0	4	0	2	1	0	1	0	0	4	0	1	4	0	6	0	0	0	0	1	0	0	0	2	3	1	0	0	1	0	2	0	3	0	0	0	0	1	0	0	2	1	5	3	0	0	1	9	0	0	1	0	2	0	0	1	0	0	0	1	2	0	1	1	0	3	1	1	0	3	0	0	1	0	0	7	0	0	0	0	5	3	1	0	1	1	0	0	2	1	0	0	2	1	0	0	0	0	0	3	1	0	0	0	3	0	0	0	3	1	1	2	2	2	0	0	0	3	0	3	0	0	2	3	2	1	4	2	2	0	1	2	0	2	2	1	0	0	2	5	0	2	4	0	0	1	2	0	0	0	1	0	0	5	1	0	3	1	0	0	1	0	1	0	1	2	2	0	0	1	0	7	0	1	0	2	0	2	0	0	1	0	0	0	1	1	1	0	2	0	0	0	1	0	0	0	6	0	1	0	0	3	1	3	0	0	2	2	2	5	1	3	0	0	0	1	1	0	5	0	2	2	0	0	102	1	2	2	3	1	0	0	1	1	5	0	1	0	2	0	1	0	0	0	0	0	1	2	2	0	0	0	0	0	2	2	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	2	0	0	3	0	0	0	9	0	0	0	0	1	0	2	1	0	2	0	5	1	3	1	2	0	0	1	1	1	0	3	0	3	4	1	1	1	0	5	2	2	2	4	3	0	0	0	1	0	0
Home - SearchEngineWatch	0	0	0	7	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	2	0	0	2	0	0	0	4	0	0	0	0	1	5	0	3	1	0	1	0	1	1	0	0	1	0	0	1	0	3	1	0	0	0	0	3	4	0	1	0	0	0	4	1	1	0	1	0	1	0	1	0	5	0	0	0	0	0	4	0	1	0	0	0	2	0	0	0	0	4	2	0	0	0	0	38	0	2	1	0	2	2	0	0	5	0	1	0	3	0	0	0	0	0	0	0	0	1	2	3	1	1	0	0	1	0	0	1	2	0	0	5	0	0	0	0	1	1	1	0	0	5	0	0	0	1	3	0	0	0	0	2	2	14	0	1	0	2	1	0	0	0	0	0	0	5	0	0	1	0	3	0	22	0	0	0	0	0	0	0	0	1	2	1	0	0	2	0	0	0	0	1	0	3	0	0	4	0	0	0	0	1	0	0	1	0	0	0	0	2	2	0	2	0	0	0	0	0	0	1	1	0	0	6	0	1	0	1	0	2	0	0	2	6	2	0	1	0	1	0	0	0	0	0	0	0	2	1	0	2	4	1	0	0	0	1	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	2	1	0	3	0	0	3	0	0	0	0	0	0	0	1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	2	0	0	0	3	1	0	1	1	1	0	0	0	3	0	24	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	1	0	0	0	0	2	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	3	2	4	0	0	0	3	0	0	3	0	10	1	0	0	0	0	0	2	0	6	2	0	4	0	0	0	0	6	0	0	0	3	0	1	1	0	4	0	0
Neil Gaiman's Journal	0	7	3	57	9	1	9	8	0	19	4	3	1	9	8	3	11	6	0	15	2	13	0	15	24	13	44	41	2	2	11	12	65	6	11	6	0	6	22	4	4	5	0	15	2	11	0	5	4	1	2	5	5	9	27	34	0	1	14	0	4	0	0	18	10	0	23	0	0	33	4	2	0	27	2	39	0	15	1	4	3	4	4	1	3	5	5	21	6	9	31	2	1	1	35	2	5	4	39	21	8	1	9	1	6	7	19	0	5	23	17	6	37	35	8	4	0	8	5	3	0	11	3	2	3	17	15	6	2	2	4	0	18	12	4	6	2	31	4	11	0	3	0	5	7	0	10	6	3	1	1	11	14	13	11	0	30	44	75	0	4	7	37	4	10	9	0	22	0	5	6	5	10	4	6	1	3	1	3	1	10	4	4	14	5	34	4	42	3	5	0	2	9	1	1	28	10	6	5	9	6	2	6	44	2	1	4	31	3	5	8	0	8	2	29	6	11	18	2	7	2	4	10	1	11	5	0	1	7	3	5	2	8	10	7	8	15	0	1	2	37	3	2	5	2	26	8	4	4	6	3	4	14	4	3	11	0	0	47	5	1	0	3	6	9	5	16	0	36	4	5	0	1	12	16	13	4	2	10	3	2	19	2	2	10	19	3	0	5	1	4	8	19	54	4	4	1	13	1	0	8	6	10	46	31	4	4	6	2	2	1	2	5	0	6	19	11	0	16	5	0	15	259	1	4	12	18	28	10	7	32	0	11	4	23	25	4	12	4	8	5	2	9	1	2	3	1	13	6	0	7	7	30	3	3	7	7	6	4	17	4	4	14	2	14	3	1	1	19	10	7	1	0	2	7	3	5	9	8	4	2	18	2	0	33	17	3	3	6	31	8	0	2	7	7	4	8	6	0	37	4	2	104	3	17	22	19	9	16	5	18	9	11	1	14	9	2	4	3	5	4	28	1	2	7	10	14	4	2	3	2	3	11	6	5	4	8	12	5	5	8	0	8	3	5	20	4	10	15	1	12	5	7	13	3	62	1	5	2	2	5	4	5	12	7	1	4	6	30	17	4	18	2	33	0	4	7	4	7	11	0	5	1	0	3	0	15	18	3	4	0	10	90	25	38	41	51	8	2	2	18	1	72	10	0	16	26	28	1	8	7	3	14	61
456 Berea Street	0	0	0	2	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	2	2	1	0	0	2	1	0	0	0	1	0	1	0	0	5	2	1	1	1	0	0	0	0	0	0	1	1	1	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	8	3	1	3	0	2	0	1	0	4	3	4	1	0	0	0	1	0	2	4	0	0	1	1	0	1	1	2	1	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	5	0	1	2	6	0	0	0	0	0	0	1	0	0	2	0	3	1	0	1	3	0	0	1	1	6	0	0	0	0	0	0	3	0	0	5	0	0	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	1	6	0	0	1	0	0	1	3	0	1	0	10	0	8	0	1	0	1	1	0	4	0	1	0	0	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	6	2	0	0	0	5	0	0	1	0	1	0	0	2	0	1	1	0	0	0	5	0	0	0	0	0	0	6	1	4	0	0	0	1	0	0	0	1	4	2	1	0	0	0	1	1	2	0	0	0	0	0	3	4	1	1	1	1	0	1	0	0	0	1	0	1	0	0	9	5	0	0	0	0	0	0	0	4	0	0	0	3	0	5	0	1	1	0	0	0	0	3	0	0	1	3	0	1	1	0	1	1	0	0	1	7	0	2	0	3	3	0	0	1	0	0	0	2	1	2	0	1	0	0	0	0	0	1	3	2	0	0	0	2	1	0	0	2	0	0	0	0	0	5	0	2	1	0	0	0	0	10	0	0	0	4	2	0	0	0	0	3	0	0	0	0	0	2	1	0	3	0	2	0	0	1	1	1	2	3	0	1	0	2	12	1	4	1	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	0	1	1	0	2	0	0	0	0	0	0	7	0	0	1	4	2	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	2	0	0	1	0	3	3	1	0	0	0	0	1	5	0	1	0	0	1	0	1	1	0	0	0
Signal vs. Noise	1	0	0	11	5	0	1	0	1	5	2	2	3	7	3	0	6	1	0	0	2	6	0	3	5	5	10	30	2	1	8	0	9	0	3	2	14	2	1	4	1	1	11	10	1	10	0	0	0	0	2	4	0	3	6	5	1	0	5	1	0	0	0	8	0	2	9	0	3	2	0	1	0	5	0	2	1	1	4	3	0	3	0	3	0	1	0	4	3	4	10	4	0	0	8	1	1	0	5	9	2	0	0	0	1	3	5	0	2	13	1	5	18	7	4	1	0	1	5	1	0	7	2	0	1	5	7	3	0	0	0	2	4	2	1	6	1	6	5	3	4	0	0	5	2	5	0	1	0	0	0	20	0	6	2	1	5	7	35	0	0	1	18	5	2	0	2	0	0	1	1	0	19	2	4	3	0	2	2	0	2	3	1	3	1	8	0	2	1	5	0	3	12	2	0	5	4	0	2	7	1	1	2	1	2	2	3	15	0	2	3	1	3	1	10	3	0	8	2	2	1	3	0	1	1	1	1	1	4	3	0	0	4	2	2	3	2	0	0	2	12	5	2	4	0	5	0	0	8	5	0	1	0	0	2	3	2	3	0	2	0	0	6	3	8	15	0	2	3	0	1	1	0	9	1	6	0	1	4	1	5	6	0	8	1	0	2	0	3	1	1	3	6	10	4	0	3	2	0	0	1	0	0	12	18	1	1	5	0	1	0	1	5	0	1	15	2	1	5	2	2	3	0	1	1	4	1	5	3	1	16	0	8	2	7	14	5	0	1	2	9	0	5	1	2	0	0	6	1	0	2	2	4	5	0	1	7	1	5	1	6	5	3	3	4	4	0	1	7	6	0	1	0	0	2	1	0	4	1	0	1	21	5	0	10	4	4	3	1	0	6	1	1	3	1	4	2	1	0	15	0	0	18	1	5	6	3	1	15	1	5	1	0	1	8	3	2	1	0	1	0	12	0	2	0	3	11	0	2	0	2	1	2	0	0	5	0	2	0	5	5	2	0	2	2	4	0	2	2	1	3	4	1	0	0	10	9	3	0	3	1	0	4	1	4	1	0	4	1	0	0	6	0	17	0	3	0	2	1	1	0	2	0	0	0	0	4	9	0	0	0	15	17	1	23	5	9	11	2	0	1	11	7	1	0	8	6	6	3	2	3	1	10	3
Joel on Software	4	0	1	7	0	0	1	3	4	25	1	0	4	36	1	0	6	1	0	2	0	5	0	2	8	1	22	12	4	3	6	4	45	1	3	1	11	0	4	5	0	2	0	7	2	9	5	6	10	6	3	2	0	7	11	11	4	11	7	2	0	0	1	6	11	1	10	1	0	0	1	2	0	2	0	2	3	4	0	4	2	2	0	10	0	2	0	2	4	6	15	3	7	0	4	1	6	4	8	2	3	2	0	0	6	1	3	4	2	17	0	4	45	15	0	1	0	0	26	10	6	6	12	1	4	4	16	8	15	1	1	5	8	1	2	5	2	7	2	6	2	4	1	3	2	44	0	0	0	6	2	22	0	5	1	5	9	30	75	4	0	0	25	1	0	0	1	0	2	4	9	4	15	1	3	2	0	0	1	3	2	14	11	8	1	12	0	7	1	1	2	2	18	3	1	7	4	0	1	10	0	3	2	5	3	15	8	20	2	16	8	3	8	3	9	0	2	2	6	9	2	12	1	1	18	0	0	0	4	1	1	2	1	2	4	7	9	5	1	1	23	1	5	9	0	13	0	2	4	7	0	0	1	7	2	15	3	2	0	2	0	0	2	10	6	2	2	1	1	0	0	12	3	21	2	10	0	4	3	2	6	5	1	12	1	2	2	1	1	16	3	2	22	7	4	5	5	3	0	0	9	0	3	33	21	1	2	2	2	0	0	2	8	0	0	5	6	12	7	0	3	1	22	1	2	8	11	19	10	3	13	1	1	1	0	32	3	2	0	14	9	11	4	21	4	0	0	0	1	0	4	0	12	1	3	1	3	1	5	0	5	8	6	1	2	2	7	8	13	11	2	2	2	3	0	3	0	14	8	3	5	5	2	9	10	10	0	1	3	0	7	7	5	4	0	1	24	0	2	12	1	1	12	1	2	8	6	5	10	11	4	6	9	2	9	2	6	1	1	4	3	10	2	2	0	12	6	1	1	1	0	2	9	0	3	0	0	4	2	0	19	9	7	0	1	5	3	1	6	2	1	5	2	5	1	23	2	0	6	2	10	2	1	3	17	6	0	4	2	10	0	0	1	16	1	0	6	2	6	8	13	2	0	1	1	3	9	9	3	0	1	32	28	1	23	32	19	9	4	3	0	18	19	11	1	15	12	19	2	9	8	0	4	0
Boing Boing	0	0	0	1	0	3	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	2	0	3	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	2	0	3	0	0	1	1	1	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	3	3	0	3	2	0	0	0	2	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	3	5	7	0	1	0	1	0	0	2	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	1	3	0	0	0	2	0	0	2	1	1	0	1	0	0	0	16	1	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	2	1	0	2	0	3	0	3	0	2	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	2	1	1	0	1	0	0	2	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	1	0	2	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	3	1	2	1	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	5	1	0	1	0	2	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	6	0	0	0	0	0	1	0	0	1	0	0	4	2	0	2	0	0	0	0	1	1	1	3	3	8	0	1	0	0	0	4	0	0	4	0	1	0	1	0	1	0	1
flagrantdisregard	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	2	0	2	0	0	0	1	0	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	4	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	1	0	0	3	0	0	5	2	0	0	0	2	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	1	0	0	0	0	0	0	1	0	5	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Pharyngula	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	2	2	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	2	0	1	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	3	0	0	0	0	0	1	0	1	0	0	0	0	3	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	2	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	3	0	0	2	0	3	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	1	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0
Steve Pavlina's Personal Development Blog	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	3	0	0	0	1	0	0	0	5	0	0	0	0	2	0	5	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	0	0	0	0	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	2	0	0	2	0	0	1	0	0	0	2	0	0	6	2	2	0	0	5	1	0	0	0	0	1	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	3	0	1	0	2	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	10	0	0	1	12	0	1	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	3	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	4	1	0	0	0	1	0	0	0	0	1	0	0	1	1	2	0	0	0	1	0	0	0	2	0	1	0	1	1	1	0	3	0	0	0	3	1	0	0	0	0	0	0	1	0	0	2	1	0	1	0	1	0	0	2	0	1	1	0	0	0	2	0	0	0	0	2	0	1	0	0	1	0	0	1	0	0	1	2	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	3	0	1	0	1	0	0	0	3	1	2	0	0	0	1	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	4	1	0	1	0	0	0	1	0	0	0	4	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	2	0	0	0	0	3	2	0	0	1	0	0	0	0	1	1	0	0	0	3	0	1	0	0	2	0	1	0
